GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0400000US12,12,Florida,0400000US12,12,Florida,Florida,61442,230
0400000US12,12,Florida,0500000US12001,12001,Florida - Alachua County,Alachua County,67459,2525
0400000US12,12,Florida,0500000US12003,12003,Florida - Baker County,Baker County,67455,6678
0400000US12,12,Florida,0500000US12005,12005,Florida - Bay County,Bay County,61750,1668
0400000US12,12,Florida,0500000US12007,12007,Florida - Bradford County,Bradford County,55999,3892
0400000US12,12,Florida,0500000US12009,12009,Florida - Brevard County,Brevard County,63114,1103
0400000US12,12,Florida,0500000US12011,12011,Florida - Broward County,Broward County,65596,872
0400000US12,12,Florida,0500000US12013,12013,Florida - Calhoun County,Calhoun County,45081,7660
0400000US12,12,Florida,0500000US12015,12015,Florida - Charlotte County,Charlotte County,56293,1817
0400000US12,12,Florida,0500000US12017,12017,Florida - Citrus County,Citrus County,50551,1308
0400000US12,12,Florida,0500000US12019,12019,Florida - Clay County,Clay County,71173,2900
0400000US12,12,Florida,0500000US12021,12021,Florida - Collier County,Collier County,72804,1989
0400000US12,12,Florida,0500000US12023,12023,Florida - Columbia County,Columbia County,55257,3063
0400000US12,12,Florida,0500000US12027,12027,Florida - DeSoto County,DeSoto County,40174,3809
0400000US12,12,Florida,0500000US12029,12029,Florida - Dixie County,Dixie County,42023,3937
0400000US12,12,Florida,0500000US12031,12031,Florida - Duval County,Duval County,63082,948
0400000US12,12,Florida,0500000US12033,12033,Florida - Escambia County,Escambia County,59598,1506
0400000US12,12,Florida,0500000US12035,12035,Florida - Flagler County,Flagler County,58327,2212
0400000US12,12,Florida,0500000US12037,12037,Florida - Franklin County,Franklin County,52164,8487
0400000US12,12,Florida,0500000US12039,12039,Florida - Gadsden County,Gadsden County,47277,3545
0400000US12,12,Florida,0500000US12041,12041,Florida - Gilchrist County,Gilchrist County,54361,4695
0400000US12,12,Florida,0500000US12043,12043,Florida - Glades County,Glades County,43206,2476
0400000US12,12,Florida,0500000US12045,12045,Florida - Gulf County,Gulf County,55866,4057
0400000US12,12,Florida,0500000US12047,12047,Florida - Hamilton County,Hamilton County,42018,5686
0400000US12,12,Florida,0500000US12049,12049,Florida - Hardee County,Hardee County,46163,2792
0400000US12,12,Florida,0500000US12051,12051,Florida - Hendry County,Hendry County,44603,3469
0400000US12,12,Florida,0500000US12053,12053,Florida - Hernando County,Hernando County,52558,1165
0400000US12,12,Florida,0500000US12055,12055,Florida - Highlands County,Highlands County,44219,1334
0400000US12,12,Florida,0500000US12057,12057,Florida - Hillsborough County,Hillsborough County,65730,789
0400000US12,12,Florida,0500000US12059,12059,Florida - Holmes County,Holmes County,48609,2724
0400000US12,12,Florida,0500000US12061,12061,Florida - Indian River County,Indian River County,60575,2552
0400000US12,12,Florida,0500000US12063,12063,Florida - Jackson County,Jackson County,47995,1675
0400000US12,12,Florida,0500000US12065,12065,Florida - Jefferson County,Jefferson County,59245,5855
0400000US12,12,Florida,0500000US12067,12067,Florida - Lafayette County,Lafayette County,56641,20781
0400000US12,12,Florida,0500000US12069,12069,Florida - Lake County,Lake County,60130,1409
0400000US12,12,Florida,0500000US12071,12071,Florida - Lee County,Lee County,61847,841
0400000US12,12,Florida,0500000US12073,12073,Florida - Leon County,Leon County,72816,1631
0400000US12,12,Florida,0500000US12075,12075,Florida - Levy County,Levy County,44692,3938
0400000US12,12,Florida,0500000US12077,12077,Florida - Liberty County,Liberty County,41914,13108
0400000US12,12,Florida,0500000US12079,12079,Florida - Madison County,Madison County,41472,4224
0400000US12,12,Florida,0500000US12081,12081,Florida - Manatee County,Manatee County,65250,1434
0400000US12,12,Florida,0500000US12083,12083,Florida - Marion County,Marion County,50922,1085
0400000US12,12,Florida,0500000US12085,12085,Florida - Martin County,Martin County,73018,2335
0400000US12,12,Florida,0500000US12086,12086,Florida - Miami-Dade County,Miami-Dade County,52235,448
0400000US12,12,Florida,0500000US12087,12087,Florida - Monroe County,Monroe County,75828,3207
0400000US12,12,Florida,0500000US12089,12089,Florida - Nassau County,Nassau County,73314,3674
0400000US12,12,Florida,0500000US12091,12091,Florida - Okaloosa County,Okaloosa County,71292,2290
0400000US12,12,Florida,0500000US12093,12093,Florida - Okeechobee County,Okeechobee County,45713,1740
0400000US12,12,Florida,0500000US12095,12095,Florida - Orange County,Orange County,60123,787
0400000US12,12,Florida,0500000US12097,12097,Florida - Osceola County,Osceola County,51905,1783
0400000US12,12,Florida,0500000US12099,12099,Florida - Palm Beach County,Palm Beach County,71519,834
0400000US12,12,Florida,0500000US12101,12101,Florida - Pasco County,Pasco County,58751,1066
0400000US12,12,Florida,0500000US12103,12103,Florida - Pinellas County,Pinellas County,64876,1158
0400000US12,12,Florida,0500000US12105,12105,Florida - Polk County,Polk County,53542,913
0400000US12,12,Florida,0500000US12107,12107,Florida - Putnam County,Putnam County,41419,2103
0400000US12,12,Florida,0500000US12109,12109,Florida - St. Johns County,St. Johns County,90682,3596
0400000US12,12,Florida,0500000US12111,12111,Florida - St. Lucie County,St. Lucie County,55618,1487
0400000US12,12,Florida,0500000US12113,12113,Florida - Santa Rosa County,Santa Rosa County,69748,1653
0400000US12,12,Florida,0500000US12115,12115,Florida - Sarasota County,Sarasota County,69898,1258
0400000US12,12,Florida,0500000US12117,12117,Florida - Seminole County,Seminole County,75048,2074
0400000US12,12,Florida,0500000US12119,12119,Florida - Sumter County,Sumter County,65452,2838
0400000US12,12,Florida,0500000US12121,12121,Florida - Suwannee County,Suwannee County,48666,5000
0400000US12,12,Florida,0500000US12123,12123,Florida - Taylor County,Taylor County,46224,3163
0400000US12,12,Florida,0500000US12125,12125,Florida - Union County,Union County,46773,4097
0400000US12,12,Florida,0500000US12127,12127,Florida - Volusia County,Volusia County,55408,1075
0400000US12,12,Florida,0500000US12129,12129,Florida - Wakulla County,Wakulla County,65911,1895
0400000US12,12,Florida,0500000US12131,12131,Florida - Walton County,Walton County,62284,3805
0400000US12,12,Florida,0500000US12133,12133,Florida - Washington County,Washington County,47753,3703
